Individual;Size;Rarity;Good Temper;Cuteness;Top Trumps Mischief Rating # https://ultimate-top-trumps.co.uk/england/winning_moves/2015/cats2.html
Abyssinian;2;4;2;16;82
American Bobtail;4;6;4;23;77
American Curl;2;7;5;28;79
Balinese (aka Javanese);3;8;4;18;80
Bengal;4;1;3;16;75
Bombay;3;2;5;25;74
British Shorthair;4;1;4;26;81
Devon Rex;2;7;5;20;83
Egyptian Mau;3;7;2;24;88
Gumball;1;5;7;14;90
Japanese Bobtail;3;8;5;28;90
LOL Cats;3;1;3;29;97
Maine Coon;5;2;4;22;85
Manx;4;9;3;26;78
Norwegian Forest;5;3;5;20;89
Ocicat;3;7;4;15;74
Persian;4;2;5;26;70
Ragamuffin;5;6;4;27;84
Ragdoll;4;5;5;22;80
Russian Blue;2;8;3;18;78
Savannah;3;9;3;18;80
Scottish Fold;2;8;5;29;91
Selkirk Rex;3;6;4;25;87
Siamese;2;3;5;13;69
Siberian;4;6;3;23;81
Singapura;1;7;4;12;80
Sphynx;3;9;4;3;71
Stray Cat;3;1;5;19;99
Tiger;6;10;0;9;95
Turkish Van;4;8;2;20;83
